model,family,mtype,size,sub_i,sub_j,pair_type,human_r,pred_r,amplification_ratio,signed_diff,abs_diff
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,IRI_Fantasy,within_scale,0.2425985343359973,0.358614348545146,1.4782214143489738,0.11601581420914872,0.11601581420914872
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,IRI_Empathic_concern,within_scale,0.3868208797594384,0.2981891072711055,0.7708712814482701,-0.08863177248833293,0.08863177248833293
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,IRI_Personal_distress,within_scale,0.0740487612513309,-0.0194118351438183,-0.2621493569343053,-0.0934605963951492,0.0934605963951492
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,PANAS_Positive_Affect,affect_cognitive,0.1557113197797272,0.5969112703435224,3.8334481474303015,0.44119995056379524,0.44119995056379524
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,PANAS_Negative_Affect,affect_cognitive,0.0202225922116022,-0.0117888876111996,-0.5829563039122168,-0.032011479822801794,0.032011479822801794
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,POM_Peace_of_Mind,affect_cognitive,0.0253891025645737,0.4626604557240444,18.222796750981292,0.4372713531594707,0.4372713531594707
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,BigFive_Extraversion,cognitive_social,0.1484577372088443,0.3407165553846186,2.295040742169688,0.19225881817577428,0.19225881817577428
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,BigFive_Agreeableness,cognitive_social,0.3098355967896596,0.3994027709864142,1.289079676850558,0.08956717419675458,0.08956717419675458
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,BigFive_Conscientiousness,cognitive_cognitive,0.0541501002704837,0.3882462596232396,7.16981607945177,0.33409615935275594,0.33409615935275594
llama1b_instruct,llama,instruct,1.0,IRI_Perspective_taking,BigFive_Neuroticism,affect_cognitive,-0.0755272944961235,-0.0141790803631042,0.1877345197878358,0.0613482141330193,0.0613482141330193
