subscale,cv_r
IRI_Perspective_taking,-0.0832092969665188
IRI_Fantasy,0.0211267544372371
IRI_Empathic_concern,-0.1700034227170772
IRI_Personal_distress,-0.0641883566803516
PANAS_Positive_Affect,-0.0021404455481198
PANAS_Negative_Affect,-0.178089403527009
POM_Peace_of_Mind,-0.1128037255590976
BigFive_Extraversion,-0.0484969697290779
BigFive_Agreeableness,-0.0872785900655372
BigFive_Conscientiousness,-0.0811418206784052
BigFive_Neuroticism,-0.2276479415923768
BigFive_Openness,-0.1003368251864699
SelfConst_Independent_self,-0.0710899849763741
SelfConst_Interdependent_self,-0.0802148333480565
LifeSat_Life_Satisfaction,-0.1311231665843499
Lonely_Loneliness,-0.0308016437324933
