subscale,cv_r
IRI_Perspective_taking,0.3004408800245595
IRI_Fantasy,0.2499977642808779
IRI_Empathic_concern,0.1767411856380584
IRI_Personal_distress,0.0680237549736759
PANAS_Positive_Affect,0.0912670596072346
PANAS_Negative_Affect,0.0367537511864703
POM_Peace_of_Mind,0.1119940271996513
BigFive_Extraversion,0.0630879529432725
BigFive_Agreeableness,0.1133412438877682
BigFive_Conscientiousness,0.0422017688919769
BigFive_Neuroticism,-0.0313907476694638
BigFive_Openness,0.0504113115620601
SelfConst_Independent_self,-0.0436514713096545
SelfConst_Interdependent_self,0.1259353619357761
LifeSat_Life_Satisfaction,0.0893110437391204
Lonely_Loneliness,0.0702718670293156
