subscale,cv_r
IRI_Perspective_taking,0.0452838984265775
IRI_Fantasy,-0.0945046430704959
IRI_Empathic_concern,0.0811631751926383
IRI_Personal_distress,-0.0152360807627832
PANAS_Positive_Affect,0.0211022593206051
PANAS_Negative_Affect,-0.1396660813117223
POM_Peace_of_Mind,-0.0620516359891724
BigFive_Extraversion,-0.1080945477466722
BigFive_Agreeableness,0.0994926538435601
BigFive_Conscientiousness,-0.0780906000334948
BigFive_Neuroticism,-0.231904504173903
BigFive_Openness,0.0559587181025087
SelfConst_Independent_self,0.1358604768993681
SelfConst_Interdependent_self,0.0812096752530645
LifeSat_Life_Satisfaction,0.1930231790426874
Lonely_Loneliness,-0.0011048162818707
