subscale,cv_r
IRI_Perspective_taking,0.4983105451100185
IRI_Fantasy,0.7455125318422315
IRI_Empathic_concern,0.7641007916349999
IRI_Personal_distress,0.5783958681734712
PANAS_Positive_Affect,0.6151385034018262
PANAS_Negative_Affect,0.5956915487620713
POM_Peace_of_Mind,0.6608396693452463
BigFive_Extraversion,0.671953378490399
BigFive_Agreeableness,0.5272193645552419
BigFive_Conscientiousness,0.5058669377064418
BigFive_Neuroticism,0.5374633590762161
BigFive_Openness,0.3843978338130469
SelfConst_Independent_self,0.5392276266302585
SelfConst_Interdependent_self,0.8026763528286185
LifeSat_Life_Satisfaction,0.5539374469454788
Lonely_Loneliness,0.5677557842582215
