iteration,item_r,item_slope,item_intercept,item_rmse,subscale_r,subscale_slope,subscale_intercept,subscale_rmse,scale_r,scale_slope,scale_intercept,scale_rmse,item_within_r,item_within_slope,item_within_intercept,item_between_r,item_between_slope,item_between_intercept,subscale_within_r,subscale_within_slope,subscale_within_intercept,subscale_between_r,subscale_between_slope,subscale_between_intercept
0,0.7584118284191264,0.7192868576472004,0.0145332532559888,0.1291007591761712,0.8899536983659107,0.8798445436079206,0.023971828897462,0.1245601072091372,0.9332489133848908,0.8995961451034568,0.0154051543693869,0.0868056181341645,0.8792850894896621,0.8618200796604086,0.0080651184387005,0.6930049355549424,0.6476398397895768,0.0151074378093274,0.8196992202675768,1.066125793280165,0.0284984265232209,0.9018532976448124,0.8632734435338698,0.0216095954945545
1,0.7686779712194086,0.833238577013898,0.0085664301620197,0.1267359559558341,0.9013921742858928,0.9340701451487085,0.0162972998799793,0.1182290384519375,0.9848357687268496,0.947269520416371,0.0073908441335321,0.0420034644972753,0.8841160613552862,0.9621955767902024,0.0107585359746216,0.7064908558780052,0.7638898072877721,0.0078286169407819,0.8106568464596584,0.9312953353673332,0.0257189595176234,0.9117288852920408,0.9335531225980184,0.0146826060507815
2,0.7734948469569365,0.7177069146459097,0.0102740489001228,0.1245898245799974,0.8995535322552282,0.8273267977264759,0.0100394119453235,0.1192664736775674,0.9769532136164536,0.8885650653665962,0.0049180901067092,0.053926844271682,0.880260078903642,0.8210889340497949,0.0162165659138733,0.714763344581411,0.6601450960716999,0.0088480155142312,0.8634614148707549,0.7470356290983464,0.0176228259953478,0.903355178458124,0.8365534808397596,0.0094895653416604
3,0.7566087896247374,0.8602270556575135,-0.0075765428500762,0.1318920823492531,0.873419265201332,1.0403318626829037,-0.0209415799451876,0.1408334010732274,0.9765735829327026,1.0587830939222136,-0.0185088051643149,0.0563710894279706,0.8684748159575317,0.946036487989878,-0.007163149755481,0.6960295437965055,0.8100402548317882,-0.0075291744771072,0.7831413121890272,0.9538832871890662,-0.0298322781205549,0.8835908153403469,1.0520804032421474,-0.0184674415115422
4,0.7458264828226486,0.8950205530016738,-0.0148054750096048,0.1380124914230014,0.8863832757234602,1.1919829834760465,-0.0486343604502611,0.1512077545564193,0.980714415956079,1.1202705940458038,-0.0505610619013056,0.0723814713637104,0.8864247739814485,0.9758517726743822,-0.0071861570395387,0.6728951594908157,0.8429529826156639,-0.0159162489893793,0.7917388792583324,0.915626663150928,0.0153256025152792,0.9002386169604878,1.2282236912041973,-0.0584829594901036
5,0.7710835870757583,0.7169698685632135,0.01348641051984,0.1264434732865999,0.9026028288660928,0.7826098956245706,0.0250495571211068,0.1236161299948651,0.9517328588288644,0.8478681223271153,0.0212173733887805,0.0805544162709522,0.8730232662052202,0.8353786312792313,0.011495469891804,0.7156150050235687,0.6562192777781817,0.0133633074455778,0.7584966182515489,0.59870916389351,0.0339797147767856,0.9195201016190088,0.8066166792709486,0.0252321044981499
6,0.75573146235941,0.743949096746687,0.0096663993798698,0.1296356289930454,0.8951523467711999,0.8977141811085506,-0.0020646481350461,0.1209659837345785,0.9534193150665142,1.0411294532844826,0.0093089009064156,0.0742564517421431,0.8825810911438586,0.8550260511158707,0.006335244659938,0.6880681929029386,0.6841764537581257,0.009979847361531,0.9260132164930818,0.8822353289937496,-0.0404574022896431,0.8945340543290937,0.9059518413652357,0.0046949563224743
7,0.7620611257908774,0.7560254196234094,0.0003581113021384,0.1281457964451877,0.8828226949890374,0.9253228425400152,-0.0198328298558332,0.130944789969655,0.9766284041386606,0.9345637000423132,-0.0234527578930992,0.0564368999677408,0.8747380516629054,0.8714731196351898,0.0114556826379631,0.7014212278843411,0.6916304303185465,-0.0018110783347697,0.8898587061176345,1.0206546260835354,0.0224587182310207,0.8849683501805503,0.914760453639838,-0.0278402352829421
8,0.7665742582407337,0.7068324367754839,0.0118036672989179,0.1275945704711398,0.8934791287400994,0.7840334949612566,0.015540012964172,0.1266040791556127,0.9539265707881884,0.8047662919668439,-0.0019931827529369,0.0807160031118812,0.8781581389420301,0.871721989440644,0.0173073707541654,0.7076280101938912,0.6260381896766992,0.0101696700203204,0.8140777303899537,0.6831341950956119,0.0524463779682693,0.9033204000558572,0.7941490696347934,0.0097811246402348
9,0.7649259845365397,0.8726165058084612,0.0108189423316981,0.1291088000857506,0.8814891497157326,0.985133662186587,0.010276545682765,0.1316470664158369,0.9788930368899256,1.120130470533224,0.0078713996154353,0.0568878934499382,0.8869700578295123,1.00668230560882,0.016780906797697,0.699299096948454,0.7985237445490091,0.009342850541301,0.835999758900999,1.0153721526437762,0.0353431361065185,0.8871199906251674,0.9805108277102652,0.0057051182849608
10,0.769125391393848,0.7447131611615698,-0.0014351903023841,0.1266549984648684,0.8781519933767157,0.8560147078427429,-0.0089222785338692,0.1323374663825956,0.9444212495718723,0.9718125594988842,-0.0060741809108308,0.0784989847690973,0.8749792561608204,0.8098796493904258,0.0053871474718658,0.7123114090647664,0.7050334766989451,-0.0027440845201615,0.7616422855968619,0.6558590562521698,-0.0024709495906848,0.8921868880412491,0.8833310450525258,-0.0079971345779311
11,0.7645621097999497,0.7742992396697669,0.0127932142770286,0.1270950867569628,0.9012012861197094,0.8802705554822566,0.0148051023571533,0.1171821730327033,0.9672575178907312,1.035606571601822,0.0204668612741318,0.0643801157432549,0.8828580169167172,0.8919834002771863,0.0138000668381147,0.7006839063416898,0.7106017624451166,0.0121681333557757,0.8436350132137977,0.989758877825964,0.002747588445759,0.9090670348253976,0.870969417799133,0.0158134474326595
12,0.7859687714784218,0.8144356105773699,0.0070096267327332,0.1208412147434835,0.9156594937277396,0.8930438371042912,-0.0014617210721297,0.1082781673402766,0.9596165482192384,0.985526428141994,-0.0050813234030595,0.0662887298666484,0.8894926613290316,0.9116787848900212,0.0071144103578449,0.7292888336327226,0.7604908251054344,0.0067769183622333,0.8776093760680742,0.7310632498300323,0.0214576434294481,0.9209836907647392,0.9132095668328216,-0.0041072884113238
13,0.7617869707099293,0.8272431191133074,0.0065197105750483,0.1290507780557515,0.8901928243873578,0.9820783429462282,0.0105413721369967,0.127076844236034,0.9487801586012063,1.112687583789545,-0.003150421496527,0.082978773840292,0.8779749391946334,0.9307091482519276,-0.0032357048348565,0.6996338692632932,0.7727288464761333,0.0081072937733076,0.8068742336621381,1.061226460313114,-0.0164347211293075,0.9015237281356848,0.9775849924775808,0.0142968807081201
14,0.7514520270109549,0.7736312036628242,0.0049700174386572,0.1316463734013697,0.903815894676904,0.954628074313788,0.0051745632505845,0.1166428573986181,0.963753971553205,1.1311764527569164,0.0020007097330598,0.0724076658959146,0.8977055981570738,0.9100102120883914,0.0048836200382677,0.6750584079107524,0.7004801587679147,0.004715342996962,0.9181649088265944,0.9350205522578005,0.0194718669113958,0.902137532407093,0.9557062057334385,0.0028550159427072
15,0.7560580173028506,0.8606190244831833,0.0042464184241259,0.131590416937508,0.9137684566249809,1.122187357906539,0.0094299110269801,0.1217711503452084,0.9601499559811691,0.9202885749510716,0.005938076073088,0.066679063344533,0.8776554030943132,0.9851721392739116,-0.002784719343502,0.6908780243821034,0.7945445142011271,0.0053349857903197,0.8443205616498493,0.9676304309084598,0.0218044586445039,0.9215421159999851,1.1406376997360108,0.0084882010474482
16,0.7630524668254256,0.7123909077947305,0.0141469402856385,0.1281699088537136,0.8958824964860759,0.8225202438294075,0.014032657827798,0.1220923096186797,0.9819161555813148,0.8174564162405027,0.0186470544332606,0.0636114486129159,0.8692007896599122,0.8398489225391633,0.0218197592248514,0.7052331018106185,0.6448723480268086,0.012246325818431,0.7835485796996254,0.7489133358129395,0.0062433364029596,0.9089084642652244,0.8321655630968828,0.0161934928300986
17,0.7667135510460255,0.7081871383197577,0.011245964177128,0.126798303512779,0.9257554123778328,0.8572920094091366,0.0066973769048373,0.1022001094303885,0.972635427685196,0.9252962493296748,-0.0110412479635101,0.0564159430836327,0.8803509122340191,0.8409074006431441,0.0124457286696427,0.7048114207577637,0.6392958971654591,0.0105782993279597,0.9268956339706246,1.054828960753452,0.018779100883614,0.9286672876051038,0.8383768216676238,0.0029164597092986
18,0.7690753314867781,0.7582911682810228,0.0097246643398555,0.1261490131943459,0.9139602952400996,0.8569317760226086,0.0244094552392854,0.1120713162875405,0.9718079241152904,0.8615621586938566,0.0285132233612936,0.068751467650302,0.8867944593395771,0.9165108095831016,0.0053641929797001,0.7063433159686252,0.6804726795961296,0.0099629170388244,0.8811328065628167,0.961797788906638,0.0096497769477418,0.918668865850708,0.8480347762369804,0.025885345613484
