,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F1,1.0000000000000002,-0.07132876187226067,-0.3377510401959676,0.10175495882237881,-0.377938985912743,0.34094392691332526,0.2142082023902583,-0.08237336904641726,0.04779319279996926,0.06779266835701352
F2,-0.07132876187226067,1.0,-0.08488060842287164,0.051982587637830514,0.14776160739526747,0.005193841236795874,-0.041263096075921046,0.2306492568517745,0.27011923199327914,0.12506535927952755
F3,-0.3377510401959676,-0.08488060842287164,1.0000000000000002,-0.19785483518979644,0.25255024386604813,-0.16541637472250664,-0.1066385988752564,0.029635787997761405,-0.06971986689462957,-0.09204990196056823
F4,0.10175495882237881,0.051982587637830514,-0.19785483518979644,0.9999999999999999,-0.02700022031008159,0.05734039254935519,0.19168349751829938,0.1298564488009488,0.06386261510884542,0.030072412432444316
F5,-0.377938985912743,0.14776160739526747,0.25255024386604813,-0.02700022031008159,1.0000000000000002,-0.1660770795146647,-0.13757969767646883,0.18781467292904086,0.011547734200138047,-0.08707403526353838
F6,0.34094392691332526,0.005193841236795874,-0.16541637472250664,0.05734039254935519,-0.1660770795146647,1.0,0.14475204880720277,0.07871552607614844,0.09845557636087254,0.017256071477093793
F7,0.2142082023902583,-0.041263096075921046,-0.1066385988752564,0.19168349751829938,-0.13757969767646883,0.14475204880720277,1.0000000000000002,-0.014821532957774065,0.00033973075391321143,0.03649442109877196
F8,-0.08237336904641726,0.2306492568517745,0.029635787997761405,0.1298564488009488,0.18781467292904086,0.07871552607614844,-0.014821532957774065,1.0000000000000004,0.1788938261979047,0.10090351814324308
F9,0.04779319279996926,0.27011923199327914,-0.06971986689462957,0.06386261510884542,0.011547734200138047,0.09845557636087254,0.00033973075391321143,0.1788938261979047,1.0000000000000002,0.11927076516165074
F10,0.06779266835701352,0.12506535927952755,-0.09204990196056823,0.030072412432444316,-0.08707403526353838,0.017256071477093793,0.03649442109877196,0.10090351814324308,0.11927076516165074,0.9999999999999998
