category,model,level,pair_scope,statistic,point,bootstrap_mean,bootstrap_ci_lo,bootstrap_ci_hi,bootstrap_n,loo_mean,loo_min,loo_max,loo_n,n_pairs,source
behavior_matrix,qwen05b_base,subscale,all,slope,0.11764915268629285,0.11481571609404483,-0.05803667713325118,0.2974994517652029,5000,0.11719013303252612,0.03526939246700958,0.1822245059634226,16,112,outputs/behavior/qwen05b_base_v2/subscale_llm_implicit.csv
behavior_matrix,qwen05b_base,subscale,all,alignment_r,0.14214433703362103,0.13638754825260757,-0.07037755883005213,0.3387499988916625,5000,0.1406803994572656,0.04401986472244691,0.21194701373959332,16,112,outputs/behavior/qwen05b_base_v2/subscale_llm_implicit.csv
behavior_matrix,qwen05b_base,subscale,between,slope,0.055881803101772966,0.05091336515090606,-0.1354867758342538,0.24671720676140063,5000,0.0545539052112765,-0.06439306644176694,0.10985611014239524,16,94,outputs/behavior/qwen05b_base_v2/subscale_llm_implicit.csv
behavior_matrix,qwen05b_base,subscale,between,alignment_r,0.07070399903777899,0.06303746638011641,-0.17341370949793522,0.298531078791018,5000,0.06770571353671694,-0.08702737047512908,0.13387829528025585,16,94,outputs/behavior/qwen05b_base_v2/subscale_llm_implicit.csv
behavior_matrix,qwen05b_base,scale,all,slope,0.45165959761705693,0.38456509070097883,-0.27563053264131876,0.9495331107953574,5000,0.4019086837715983,-0.041376272645557634,0.8292049877479948,7,21,outputs/behavior/qwen05b_base_v2/scale_llm_implicit.csv
behavior_matrix,qwen05b_base,scale,all,alignment_r,0.46664975214921894,0.377772318941736,-0.3266587671468811,0.820577103057832,5000,0.40668467171816436,-0.04096484203079939,0.6422867640194329,7,21,outputs/behavior/qwen05b_base_v2/scale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,subscale,all,slope,0.29822921023281734,0.2958890052433671,0.11858185324228585,0.4667627838431482,5000,0.295687184378513,0.19023605600668542,0.4346614000071745,16,120,outputs/behavior/qwen05b_instruct_v3/subscale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,subscale,all,alignment_r,0.306889434190254,0.3037259315760397,0.11374567686551755,0.4692311157993962,5000,0.30451571371980735,0.19889245865109545,0.42751714917081585,16,120,outputs/behavior/qwen05b_instruct_v3/subscale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,subscale,between,slope,0.28030472777951376,0.27587062954107616,0.07800520519529783,0.4631474009757523,5000,0.2766378757859874,0.14859999968996432,0.39869424778082757,16,102,outputs/behavior/qwen05b_instruct_v3/subscale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,subscale,between,alignment_r,0.28920149061642536,0.28593138986229105,0.08133867018439543,0.4642928894758243,5000,0.28574856481829325,0.15792351329258855,0.3940508386413242,16,102,outputs/behavior/qwen05b_instruct_v3/subscale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,scale,all,slope,0.7782115058191117,0.7944247671125643,0.46196967920517595,1.1378839521881376,5000,0.7751781692382816,0.45970503126334505,1.0090217028708217,7,21,outputs/behavior/qwen05b_instruct_v3/scale_llm_implicit.csv
behavior_matrix,qwen05b_instruct,scale,all,alignment_r,0.738401570101588,0.7191461347948397,0.39323532750937623,0.8913498020815608,5000,0.7135010709654062,0.5085755167537421,0.8543166174834482,7,21,outputs/behavior/qwen05b_instruct_v3/scale_llm_implicit.csv
behavior_matrix,llama1b_base,subscale,all,slope,0.32955338059601264,0.3288260982882709,0.1705018598390146,0.49196330333276805,5000,0.32878325366393196,0.2886354014693111,0.3657050862397092,16,111,outputs/behavior/llama1b_base_v2/subscale_llm_implicit.csv
behavior_matrix,llama1b_base,subscale,all,alignment_r,0.3784252477650374,0.3737521195240309,0.20533057584920153,0.5287786939805181,5000,0.3779529246738265,0.3269580433517125,0.4218585255673217,16,111,outputs/behavior/llama1b_base_v2/subscale_llm_implicit.csv
behavior_matrix,llama1b_base,subscale,between,slope,0.3003475248651662,0.298772003471902,0.1317970028513632,0.4706471396612942,5000,0.2990712822551645,0.23824606956070724,0.35898811002145087,16,93,outputs/behavior/llama1b_base_v2/subscale_llm_implicit.csv
behavior_matrix,llama1b_base,subscale,between,alignment_r,0.36286988717989277,0.3568407008441876,0.17344868053701387,0.5283236908647218,5000,0.3614615349831277,0.28960894622720185,0.42265852773345614,16,93,outputs/behavior/llama1b_base_v2/subscale_llm_implicit.csv
behavior_matrix,llama1b_base,scale,all,slope,0.4993184830270196,0.4389881073702625,-0.059830649145716064,0.851052671402558,5000,0.4469196220951508,0.008472935894674676,0.7174251825379574,7,18,outputs/behavior/llama1b_base_v2/scale_llm_implicit.csv
behavior_matrix,llama1b_base,scale,all,alignment_r,0.6006764898119015,0.5175777618047441,-0.06875902197396914,0.8371323064204086,5000,0.5301114920932961,0.012114040986453602,0.7819455976180693,7,18,outputs/behavior/llama1b_base_v2/scale_llm_implicit.csv
behavior_matrix,llama1b_instruct,subscale,all,slope,0.5154411433227688,0.5163753559388733,0.3661409283548431,0.6720607693198289,5000,0.5144328096610006,0.4551602096228645,0.5805240078470219,16,120,outputs/behavior/llama1b_instruct_v3/subscale_llm_implicit.csv
behavior_matrix,llama1b_instruct,subscale,all,alignment_r,0.4931224469289505,0.49191100409244426,0.35998132346274264,0.6030312920321105,5000,0.49257582321108984,0.4521325479407012,0.5286189970197798,16,120,outputs/behavior/llama1b_instruct_v3/subscale_llm_implicit.csv
