category,statistic,value,model_dir,level,ci_lo,ci_hi,source,raw_slope,corrected_r,model,mantel_p,rmse,n_pairs,r,p,n,best_layer,variant,readout,slope,bootstrap_ci_lo,bootstrap_ci_hi,loo_min,loo_max,pair_scope,relationship,n_models
behavior_uncertainty,alignment_r_bootstrap_ci,0.3424585718622137,qwen05b_base_v2,item,0.2996073542093904,0.3462744255154512,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.7062210548647051,qwen05b_base_v2,item_within,0.6652889858440026,0.71388341713263,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.1310258857828144,qwen05b_base_v2,item_between,0.0864264555956633,0.1560249667594337,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.1421443370336209,qwen05b_base_v2,subscale,0.0772224229972895,0.2057436452444552,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.4666497521492184,qwen05b_base_v2,scale,0.3694108304259048,0.5368365897050509,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.4640470026400578,qwen05b_instruct_v3,item,0.4098679191850194,0.4680589701373682,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.8272058590608661,qwen05b_instruct_v3,item_within,0.7930424373053978,0.8285126915300922,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.2639526629967587,qwen05b_instruct_v3,item_between,0.2020788267683905,0.2823371408566468,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.3068894341902537,qwen05b_instruct_v3,subscale,0.2255421967881664,0.37285397827512,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.738401570101588,qwen05b_instruct_v3,scale,0.6648016074601978,0.7883907006664265,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.251366712865956,llama1b_base_v2,item,0.2113865963983661,0.2715920301145479,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.3100814368564303,llama1b_base_v2,item_within,0.271264461753986,0.3409042263950204,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.2246076110982147,llama1b_base_v2,item_between,0.1678015927019367,0.2558350331160202,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
behavior_uncertainty,alignment_r_bootstrap_ci,0.3898715249256386,llama1b_base_v2,subscale,0.3252765077322694,0.4370480726199496,outputs/behavior/bootstrap_ci_subjects.csv,,,,,,,,,,,,,,,,,,,,
