subscale,cv_r
IRI_Perspective_taking,0.0643237049405488
IRI_Fantasy,-0.0086928908683756
IRI_Empathic_concern,0.0181316343199388
IRI_Personal_distress,0.0569274009383807
PANAS_Positive_Affect,0.0436113433887902
PANAS_Negative_Affect,0.1083096954871279
POM_Peace_of_Mind,0.1031526972468043
BigFive_Extraversion,0.1102895378891156
BigFive_Agreeableness,0.0073838744546208
BigFive_Conscientiousness,-0.0213994902601209
BigFive_Neuroticism,-0.0596913832578117
BigFive_Openness,0.0447068755960229
SelfConst_Independent_self,0.0869978818503781
SelfConst_Interdependent_self,0.0374264609340349
LifeSat_Life_Satisfaction,-0.0677866186820578
Lonely_Loneliness,0.1564363697362884
