subscale,cv_r
IRI_Perspective_taking,-0.0418612589728771
IRI_Fantasy,-0.1498846471786503
IRI_Empathic_concern,-0.1778434673210223
IRI_Personal_distress,-0.0760315506922194
PANAS_Positive_Affect,-0.1120527795775171
PANAS_Negative_Affect,-0.1755410259875484
POM_Peace_of_Mind,-0.1214949133120039
BigFive_Extraversion,0.0655854132506475
BigFive_Agreeableness,-0.1349068814541343
BigFive_Conscientiousness,-0.0670758797009464
BigFive_Neuroticism,-0.0780791991069174
BigFive_Openness,-0.0589387629880449
SelfConst_Independent_self,-0.0767060753559427
SelfConst_Interdependent_self,-0.1024658791268722
LifeSat_Life_Satisfaction,-0.1353455578912462
Lonely_Loneliness,0.0510252317038631
