subscale,cv_r
IRI_Perspective_taking,0.0314229951421979
IRI_Fantasy,0.0539425509922594
IRI_Empathic_concern,-0.1906878955927454
IRI_Personal_distress,-0.0203955103241569
PANAS_Positive_Affect,-0.1553372443487576
PANAS_Negative_Affect,-0.0833122537706804
POM_Peace_of_Mind,0.0257286636753408
BigFive_Extraversion,0.063058206241703
BigFive_Agreeableness,-0.3091301787924929
BigFive_Conscientiousness,-0.246384975103152
BigFive_Neuroticism,-0.2123530790427032
BigFive_Openness,0.0289659392702984
SelfConst_Independent_self,-0.0896712946273277
SelfConst_Interdependent_self,-0.0885835888182213
LifeSat_Life_Satisfaction,-0.1655645879278206
Lonely_Loneliness,-0.0161067104235082
