subscale,cv_r
IRI_Perspective_taking,0.0790032971741101
IRI_Fantasy,-0.0921292004994025
IRI_Empathic_concern,-0.2143446630298156
IRI_Personal_distress,-0.0087029575478317
PANAS_Positive_Affect,-0.0729932120748613
PANAS_Negative_Affect,-0.1580771188621812
POM_Peace_of_Mind,-0.1318509990021854
BigFive_Extraversion,-0.0361392138276693
BigFive_Agreeableness,-0.072244700481881
BigFive_Conscientiousness,0.0160230152450848
BigFive_Neuroticism,-0.1279910473703818
BigFive_Openness,-0.1110731622181948
SelfConst_Independent_self,0.1874799899418015
SelfConst_Interdependent_self,-0.1252966957334929
LifeSat_Life_Satisfaction,0.1512171715612372
Lonely_Loneliness,-0.1882317740231796
