subscale,cv_r
IRI_Perspective_taking,0.2732017048797627
IRI_Fantasy,0.6419620544951528
IRI_Empathic_concern,0.620119678002971
IRI_Personal_distress,0.4657945716703213
PANAS_Positive_Affect,0.4618494137742676
PANAS_Negative_Affect,0.383779468386943
POM_Peace_of_Mind,0.381138056687142
BigFive_Extraversion,0.2758783600094731
BigFive_Agreeableness,0.1191028916095016
BigFive_Conscientiousness,0.174631744082734
BigFive_Neuroticism,0.2809360578340303
BigFive_Openness,0.1079279215071788
SelfConst_Independent_self,0.2116856676444029
SelfConst_Interdependent_self,0.2275296499063897
LifeSat_Life_Satisfaction,0.2753059075054048
Lonely_Loneliness,0.3366875164810036
