subscale,cv_r
IRI_Perspective_taking,-0.0645477161665755
IRI_Fantasy,0.4569668909463228
IRI_Empathic_concern,0.4519569184799728
IRI_Personal_distress,0.3142634497478943
PANAS_Positive_Affect,0.3278348658205852
PANAS_Negative_Affect,0.2315720954570472
POM_Peace_of_Mind,0.4309426464070171
BigFive_Extraversion,0.1777020941906301
BigFive_Agreeableness,0.1593228297089627
BigFive_Conscientiousness,-0.0010127808965493
BigFive_Neuroticism,0.2130316884104744
BigFive_Openness,0.0465440459307195
SelfConst_Independent_self,0.0526841028691696
SelfConst_Interdependent_self,-0.0181091639876937
LifeSat_Life_Satisfaction,0.1743383822412369
Lonely_Loneliness,0.2399805511494256
