label,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
F1,1.0000000000000002,-0.0713287618722606,-0.3377510401959676,0.1017549588223788,-0.377938985912743,0.3409439269133252,0.2142082023902583,-0.0823733690464172,0.0477931927999692,0.0677926683570135
F2,-0.0713287618722606,1.0,-0.0848806084228716,0.0519825876378305,0.1477616073952674,0.0051938412367958,-0.041263096075921,0.2306492568517745,0.2701192319932791,0.1250653592795275
F3,-0.3377510401959676,-0.0848806084228716,1.0000000000000002,-0.1978548351897964,0.2525502438660481,-0.1654163747225066,-0.1066385988752564,0.0296357879977614,-0.0697198668946295,-0.0920499019605682
F4,0.1017549588223788,0.0519825876378305,-0.1978548351897964,1.0,-0.0270002203100815,0.0573403925493551,0.1916834975182993,0.1298564488009488,0.0638626151088454,0.0300724124324443
F5,-0.377938985912743,0.1477616073952674,0.2525502438660481,-0.0270002203100815,1.0000000000000002,-0.1660770795146647,-0.1375796976764688,0.1878146729290408,0.011547734200138,-0.0870740352635383
F6,0.3409439269133252,0.0051938412367958,-0.1654163747225066,0.0573403925493551,-0.1660770795146647,1.0,0.1447520488072027,0.0787155260761484,0.0984555763608725,0.0172560714770937
F7,0.2142082023902583,-0.041263096075921,-0.1066385988752564,0.1916834975182993,-0.1375796976764688,0.1447520488072027,1.0000000000000002,-0.014821532957774,0.0003397307539132,0.0364944210987719
F8,-0.0823733690464172,0.2306492568517745,0.0296357879977614,0.1298564488009488,0.1878146729290408,0.0787155260761484,-0.014821532957774,1.0000000000000004,0.1788938261979047,0.100903518143243
F9,0.0477931927999692,0.2701192319932791,-0.0697198668946295,0.0638626151088454,0.011547734200138,0.0984555763608725,0.0003397307539132,0.1788938261979047,1.0000000000000002,0.1192707651616507
F10,0.0677926683570135,0.1250653592795275,-0.0920499019605682,0.0300724124324443,-0.0870740352635383,0.0172560714770937,0.0364944210987719,0.100903518143243,0.1192707651616507,0.9999999999999998
